market,identifier,fiscal_year,market_cap_usd,revenue_usd,operating_income_usd,net_income_usd,currency,source
KR,063440,2025,36576000,38393980.65936,3294458.29728,3957736.9284,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,063570,2025,73152000,276447048.18696,22113899.15832,5177016.1656,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,063760,2025,16416000,19665658.55808,1658406.51504,1871358.77592,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064090,2025,28584000,5192569.48608,-4376602.12752,-21747009.00312,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064240,2025,38736000,70557213.99816,-2070506.12184,-1562662.13616,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064260,2025,243720000,162271551.03912,1664754.18552,-49222405.55304,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064290,2025,379296000,64630866.6504,-2688932.71008,-2389617.14256,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064350,2025,14529888000,4204102718.16,724061166.48,554754383.28,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064400,2025,5524848000,4413270756.96,397316372.4,316193469.12,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064480,2025,23904000,35767471.70376,223519.28976,369326.68992,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,064510,2025,,9237048.59448,-509579.6292,-972827.99352,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,064520,2025,25632000,13067772.5268,-4034722.6224,-3358917.24552,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064550,2025,130824000,237679673.59296,10962318.24216,1229040.39024,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064760,2025,2137032000,216960698.04768,60398869.94136,50329961.67744,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,064800,2025,41112000,32321199.98592,-15207077.08872,11410561.02528,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064820,2025,203112000,417437188.52256,35973827.02152,46250828.08416,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064850,2025,227592000,25489112.78736,7677448.69464,7232815.76472,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,064960,2025,513072000,724589257.3704,73838127.53664,50045867.03664,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065060,2025,11952000,79824037.06656,-294474.06864,-6157657.04472,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065130,2025,32472000,574918776.072,-25357505.01912,-32876884.3284,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065150,2025,16632000,79822519.25976,3279203.83728,5987029.2948,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065160,2023,,2958973.95528,-2169941.7672,-1615293.55368,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,065170,2025,48456000,4684124.2644,-2033671.57992,-12086734.59288,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065350,2025,672840000,680661931.11696,19936748.3688,17429064.39576,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065370,2025,15336000,27545996.14488,565923.39552,1047247.33032,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065420,2025,9144000,15013136.5884,-2084697.49392,-1410034.45464,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,065440,2025,31320000,44324137.46232,1104913.46016,1152728.61624,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065450,2025,64872000,59728844.46312,3148963.2972,3169586.51496,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065500,2025,29160000,113137775.30664,656942.69448,1293997.14648,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065510,2025,55800000,84991183.69968,3998398.6548,-3557102.59728,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065530,2025,38952000,54388109.12616,3942495.07632,3274796.38032,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,065560,2025,,8002053.84888,-2650050.95976,2241597.15072,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,065570,2025,8856000,23948253.70776,-140118.40296,604874.00736,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,065650,2025,14544000,54854356.03848,-3082515.17832,-544588.94448,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
